year,file,cluster,value
1999,99021107DN.txt,organizations,Oxford University
1999,99021107DN.txt,organizations,University of Nairobi
1999,99021704DN.txt,organizations,Johns Hopkins University
1999,99021707DN.txt,organizations,John Hopkins University
1999,99030107DN.txt,organizations,University of Alabama
1999,99030107DN.txt,organizations,Alabama University
1999,99060305DN.txt,organizations,University of Nairobi
1999,99060305DN.txt,organizations,Nairobi University
1999,99072603DN.txt,organizations,University of Nairobi
1999,99081605DN.txt,organizations,Catholic University
1999,99081605DN.txt,organizations,Egerton University
1999,99093025DN.txt,organizations,University of Nairobi
1999,99101903DN.txt,organizations,University of Nairobi
1999,99110706LS.txt,organizations,Nairobi University
1999,99112602DN.txt,organizations,Nairobi University
1999,99120107DN.txt,organizations,Johns Hopkins University
1999,99121317DN.txt,organizations,Kenyatta University
2000,00010707DN.txt,organizations,Moi University Judging
2000,00012727DN.txt,organizations,Kenyatta University
2000,00013007LS.txt,organizations,Daystar University
2000,00020209DN.txt,organizations,University of California
2000,00020707DN.txt,organizations,Egerton University
2000,00022308DN.txt,organizations,University of Nairobi
2000,00022308DN.txt,organizations,University
2000,00031007DN.txt,organizations,Moi University
2000,00032233DN.txt,organizations,University
2000,00041329DN.txt,organizations,University of Ottawa
2000,00041918DN.txt,organizations,University Centre
2000,00041918DN.txt,organizations,University
2000,00041918DN.txt,organizations,Egerton University
2000,00042730DN.txt,organizations,University of Washington
2000,00060411LS.txt,organizations,Egerton University
2000,00061636DN.txt,organizations,University
2000,00061804LS.txt,organizations,University of California
2000,00071010DN.txt,organizations,Kenyatta University Tenders
2000,00071010DN.txt,organizations,University
2000,00071208DN.txt,organizations,University
2000,00071208DN.txt,organizations,Oxford University
2000,00071408DN.txt,organizations,Oxford University
2000,00071408DN.txt,organizations,University of Cali
2000,00071621SN.txt,organizations,Hopkins University
2000,00071621SN.txt,organizations,Makerere University
2000,00072008DN.txt,organizations,University of Nairobi Health Services
2000,00072108DN.txt,organizations,Johns Hopkins University
2000,00073009LS.txt,organizations,Kenyatta University
2000,00080618SN.txt,organizations,Kenyatta University
2000,00081315SN.txt,organizations,University of Nairobi
2000,00082408DN.txt,organizations,University 01 Illinois
2000,00082432DN.txt,organizations,University of North Carolina
2000,00082432DN.txt,organizations,Georgetown University
2000,00082432DN.txt,organizations,Georgetown University
2000,00090604WM.txt,organizations,University of London's School of Hygiene and Tropical Medicine
2000,00090829DN.txt,organizations,Maseno University
2000,00091011LS.txt,organizations,Oxford University
2000,00091917DN.txt,organizations,United States International University
2000,00092514DN.txt,organizations,University of Eastern Africa
2000,00092514DN.txt,organizations,The University of Eastern Africa
2000,00092514DN.txt,organizations,University Way Funzi Road
2000,00092514DN.txt,organizations,a. Minimum University Entrance Requirements
2000,00100207DN.txt,organizations,Makerere University College
2000,00100308DN.txt,organizations,University of Michigan in AM Arbor
2000,00100510DN.txt,organizations,Maseno University Sacco Society
2000,00100510DN.txt,organizations,Long Live Maseno ' University Sacco
2000,00100510DN.txt,organizations,Maseno University
2000,00100805SN.txt,organizations,Kenyan University of East Africa
2000,00100807YN.txt,organizations,University Primary School/Nairobi
2000,00101328DN.txt,organizations,University Council
2000,00101328DN.txt,organizations,Kenyatta University Prof G. S. Eshiwani Word
2000,00101328DN.txt,organizations,University
2000,00101624DN.txt,organizations,University
2000,00101921DN.txt,organizations,University Azithromycin
2000,00101921DN.txt,organizations,University
2000,00101921DN.txt,organizations,University of Nairobi
2000,00102006DN.txt,organizations,Oxford University
2000,00102006DN.txt,organizations,University of Nairobi has Caribbean
2000,00102204YN.txt,organizations,Kenyatta University
2000,00102204YN.txt,organizations,University of Nairobi
2000,00102510DN.txt,organizations,University of Wollongong
